2340050805,2014,2330,1989

2340051805,1990,2324,1991

2340052805,1974,2318,1984

2340053805,1991,2321,1981

2340054805,2001,2337,1978

2340055805,1984,2325,1986

2340056805,1984,2333,1979

2340068801,1995,2336,1938

2340069805,1981,2338,1959

2340070805,1993,2334,1965

2340071805,1997,2341,1964

2340072805,1995,2337,1957

2340073805,1979,2347,1963

2340074805,1984,2349,1952

2340075805,1989,2349,1955

2340087801,1995,2349,1964

2340088805,1982,2343,1962

2340089805,1986,2335,1943

2340090805,1991,2342,1965

2340091805,1984,2337,1968

2340092805,1991,2352,1964

2340093805,1989,2337,1959

2340094805,1989,2346,1967

2340106801,1990,2321,1983

2340107805,2007,2324,1987

2340108805,1990,2326,1984

2340109805,1987,2329,1989

2340110805,1984,2324,1986

2340111805,1981,2335,1990

2340112805,1990,2322,1990

2340113805,1993,2330,2000

2340125801,1983,2313,2013

2340126805,1983,2311,2010

2340127805,1984,2320,2023

2340128805,1990,2315,2008

2340129805,1985,2315,2013

2340130805,1977,2311,2014

2340131805,1984,2304,2021

2340132805,1987,2309,2017

2340144801,1988,2305,2011

2340145805,1998,2309,2000

2340146805,1977,2319,2013

2340147805,1986,2309,2006

2340148805,1983,2273,2002

2340149805,1987,2319,2005

2340150805,1984,2320,2002

2340151805,1993,2318,2006

2340163801,1987,2323,1987

2340164805,1983,2326,1999

2340165805,1987,2327,1986

2340166805,2004,2322,1980

2340167805,1997,2352,1985

2340168805,1985,2329,1984

2340169805,1985,2329,1999

2340170805,1998,2324,1975

2340182801,1987,2347,1958

2340183805,1987,2337,1958

2340184805,1990,2350,1961

2340185805,1994,2350,1954

2340186805,1985,2349,1955

2340187805,1995,2373,1953

2340188805,1995,2348,1956

2340189805,1995,2347,1953

2340200801,1989,2341,1962

2340201805,1990,2333,1960

2340202805,1984,2341,1962

2340203805,1988,2331,1962

2340204805,1997,2347,1968

2340205805,1988,2336,1970

2340206805,1990,2321,1968

2340207805,2000,2342,1971

2340219801,1990,2322,1983

