78199805,1999,2327,1983

78200805,1993,2326,1991

78201805,1983,2337,1989

78202805,1981,2325,1984

78203805,1985,2322,1989

78204805,1993,2326,1989

78205805,1989,2325,1978

78217801,1993,2330,1985

78218805,1984,2333,1984

78219805,1994,2320,1999

78220805,1989,2327,1990

78221805,1991,2331,1979

78222805,1989,2350,1990

78223805,1993,2323,1984

78224805,1987,2320,1982

78225805,1994,2334,1985

78236801,1985,2332,1995

78237805,1985,2341,1985

78238805,1989,2329,1979

78239805,1981,2322,1979

78240805,1979,2330,1982

78241805,1985,2335,1983

78242805,1983,2338,1983

78243805,1984,2327,1984

78244805,1985,2320,1983

78256801,1986,2334,1968

78257805,1978,2322,1985

78258805,1994,2330,1990

78259805,1986,2333,1981

78260805,1984,2326,1983

78261805,1991,2329,1986

78262805,1994,2325,1985

78263805,1980,2337,1985

78264805,1985,2336,1998

78276801,1979,2335,1995

78277805,1985,2331,1985

78278805,1997,2323,1985

78279805,1945,2336,1991

78280805,1989,2330,1994

78281805,1997,2320,1983

78282805,1990,2334,1981

78283805,1984,2327,1984

78284805,1981,2331,1987

78295801,1981,2323,1987

78296805,1984,2330,1990

78297805,1985,2333,1982

78298805,1987,2325,1989

78299805,1983,2336,1977

78300805,1979,2335,1983

78301805,1994,2308,1980

78302805,1981,2329,1983

78303805,1987,2322,1985

78315801,1990,2321,1984

78316805,1979,2320,1984

78317805,1990,2329,1986

78318805,1987,2325,1987

78319805,1990,2327,1987

78320805,1982,2321,1985

78321805,1988,2320,1993

78322805,1984,2321,1995

78323805,1987,2327,1984

78335801,1990,2331,1984

78336805,1986,2334,1981

78337805,1986,2332,1990

78338805,2008,2334,1984

78339805,1993,2333,1990

78340805,1984,2329,1982

78341805,1986,2328,1998

78342805,1984,2322,1981

78343805,1989,2321,1986

78354801,1987,2328,1985

78355805,2000,2323,1986

78356805,1991,2332,1989

78357805,1989,2320,1979

78358805,1987,2327,1984

78359805,1989,2322,1984

78360805,1982,2321,1985

78361805,1994,2333,1985

78362805,1981,2326,1977

78374801,1985,2323,1999

78375805,1984,2322,1991

78376805,1986,2333,1991

78377805,1995,2326,1983

78378805,1981,2327,1974

78379805,1988,2336,1978

78380805,1998,2321,1983

78381805,1987,2323,1991

78382805,1992,2334,1983

78394801,1998,2327,1978

78395805,1994,2336,1984

78396805,1985,2320,1990

78397805,2001,2334,1987

78398805,1978,2320,1975

78399805,1981,2338,1985

78400805,1985,2320,1979

78401805,1979,2332,1993

78402805,1991,2326,1993

78413801,1997,2330,1989

78414805,1987,2319,2003

78415805,1984,2320,1995

78416805,1981,2335,1987

78417805,1989,2323,1989

78418805,1985,2325,1994

78419805,1991,2325,1988

78420805,1985,2330,1985

78421805,1987,2337,1982

78433801,1990,2330,2064

78434805,2000,2330,1983

78435805,1994,2322,1983

78436805,1986,2328,1979

78437805,1991,2320,1989

78438805,1986,2320,1991

78439805,1995,2333,1990

78440805,1985,2331,1920

78441805,1995,2323,1979

78453801,1995,2325,1983

78454805,1991,2335,1981

78455805,1987,2329,1987

78456805,1986,2322,1990

78457805,1982,2331,1986

78458805,1991,2319,1984

78459805,1987,2326,1993

78460805,1986,2335,1983

78461805,1985,2330,1981

78473801,1988,2323,1987

78474805,1990,2331,1982

78475805,1985,2330,1981

78476805,1966,2322,1986

78477805,1994,2336,1982

78478805,1991,2325,1991

78479805,1987,2321,1987

78480805,1984,2318,1983

78481805,1987,2322,1996

78492801,1990,2326,1987

78493805,1990,2334,1975

78494805,1987,2324,1983

78495805,1983,2329,1985

78496805,1981,2335,1989

78497805,1990,2333,1984

78498805,1987,2321,1979

78499805,1989,2327,1993

78500805,1994,2325,1980

78512801,1995,2325,1936

78513805,1991,2336,1984

78514805,1990,2329,1970

78515805,1983,2326,1983

78516805,1986,2336,1987

78517805,1993,2333,1989

78518805,1979,2334,1983

78519805,1987,2327,1984

78520805,1981,2323,1984

78532801,1987,2336,1984

78533805,1988,2333,1984

78534805,1989,2336,1998

78535805,2033,2327,1987

78536805,1985,2320,1982

78537805,1984,2335,1983

78538805,1989,2333,1983

78539805,1996,2323,1979

78540805,1983,2341,1989

78551801,1982,2326,1991

78552805,1971,2320,1991

78553805,196297944805,1991,2323,1989

1997945805,1987,2320,1986

1997946805,1989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,2321,1986

1997947805,1991,2989,1984

1997948805,1984,2331,1985

1997949805,1987,2331,1985

1997961801,1987,2327,1984

1997962805,1997,2322,1986

1997963805,1988,2327,1985

1997964805,1979,2335,1987

1997965805,1994,2320,1983

1997966805,1984,2320,1986

1997967805,1989,2368,1987

1997968805,1994,2326,1987

1997980801,1993,2323,1996

1997981805,1990,2321,1990

1997982805,1990,2331,1985

1997983805,1984,2337,1983

1997984805,1985,2320,1983

1997985805,1985,2320,1987

1997986805,1985,2326,1988

1997987805,1985,2320,1991

1997999801,1981,2330,1989

1998000805,1984,2323,1989

1998001805,1991,2333,1982

1998002805,1990,2325,1987

1998003805,1986,2337,1988

1998004805,1987,2327,1979

1998005805,1987,2331,1983

1998006805,1993,2323,1983

1998018801,1994,2327,1984

1998019805,1989,2326,1981

1998020805,1990,2327,1987

1998021805,1989,2326,2006

1998022805,1987,2320,1982

1998023805,1990,2319,1983

1998024805,1977,2329,1985

1998025805,1983,2327,1985

1998037801,1987,2320,1984

1998038805,1993,2320,1979

1998039805,1984,2334,1993

1998040805,1991,2320,1978

1998041805,1987,2329,1984

1998042805,1987,2319,1984

1998043805,1979,2332,1983

1998044805,1989,2334,1984

1998056801,1985,2330,1995

1998057805,1982,2333,1994

1998058805,1984,2321,1981

1998059805,1990,2330,1981

1998060805,1986,2332,1984

1998061805,1982,2326,1991

1998062805,1986,2330,1987

1998063805,1984,2323,1983

1998075801,1995,2327,1994

1998076805,1994,2331,1988

1998077805,1994,2322,1979

1998078805,1990,2349,1985

1998079805,1984,2326,1982

1998080805,1983,2336,1990

1998081805,1983,2321,1980

1998082805,1984,2330,1993

1998094801,1984,2335,1981

1998095805,1986,2330,1987

1998096805,1994,2330,1985

1998097805,1987,2320,1980

1998098805,1991,2319,1979

1998099805,1989,2319,1990

1998100805,1988,2327,1983

