2180,1655,2170
2175,1659,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2175,1660,2167
2175,1663,2171
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2178,1662,2174
2187,1659,2175
2181,1662,2174
2175,1661,2181
2178,1667,2178
2179,1663,2163
2178,1655,2187
2179,1660,2169
2177,1699,2181
2177,1654,2144
2181,1657,2176
2178,1665,2173
2190,1658,2158
2190,1658,2176
2187,1648,2179
2173,1661,2175
2182,1653,2171
2179,1657,2178
2179,1658,2169
2183,1662,2170
2179,1664,2171
2181,1661,2171
2180,1660,2154
2176,1659,2179
2182,1659,2166
2180,1666,2175
2179,1649,2174
2178,1634,2169
2186,1662,2177
2178,1667,2177
2177,1670,2176
2186,1662,2173
2176,1652,2172
2185,1657,2184
2176,1667,2179
2181,1655,2155
2176,1657,2163
2183,1657,2171
2179,1661,2166
2176,1652,2155
2176,1662,2183
2182,1657,2170
2177,1653,2177
2176,1655,2167
2191,1659,2173
2177,1654,2171
2180,1662,2154
2178,1657,2176
2179,1663,2176
2177,1657,2174
2178,1658,2170
2179,1657,2179
2179,1653,2178
2176,1649,2165
2176,1654,2171
2178,1657,2174
2175,1664,2175
2181,1648,2166
2180,1655,2179
2177,1655,2173
2175,1661,2167
2176,1657,2171
2176,1657,2177
2177,1657,2180
2177,1661,2171
2179,1659,2167
2177,1657,2178
2183,1657,2177
2178,1660,2173
2176,1662,2173
2177,1661,2174
2177,1661,2176
2176,1661,2171
2175,1653,2170
2176,1664,2176
2180,1663,2167
2185,1661,2171
2178,1660,2171
2182,1655,2166
2179,1664,2166
2181,1658,2171
2179,1664,2165
2177,1658,2174
2176,1659,2179
2177,1652,2167
2175,1662,2167
2175,1660,2173
2178,1663,2175
2174,1664,2169
2177,1663,2175
2187,1660,2177
2178,1662,2179
2186,1660,2171
2177,1663,2172
2176,1653,2175
2179,1662,2176
2175,1663,2173
2178,1653,2171
2180,1659,2176
2181,1654,2177
2177,1654,2173
2177,1662,2172
2181,1658,2163
2175,1659,2167
2175,1663,2175
2182,1664,2176
2181,1661,2171
2175,1654,2165
2181,1662,2173
2179,1657,2166
2182,1658,2171
2179,1657,2175
2180,1659,2173
2182,1659,2176
2179,1659,2174
2148,1657,2175
2181,1658,2173
2179,1655,2173
2180,1661,2173
2177,1657,2168
2181,1654,2174
2179,1658,2170
2175,1654,2171
2173,1662,2166
2177,1659,2170
2179,1654,2171
2179,1659,2171
2179,1658,2175
2178,1663,2175
2178,1657,2175
2182,1664,2164
2178,1659,2173
2181,1661,2177
2180,1658,2167
2191,1662,2174
2185,1661,2176
2175,1655,2177
2183,1661,2174
2176,1663,2177
2177,1655,2172
2178,1655,2169
2179,1663,2173
2176,1653,2170
2181,1652,2166
2176,1653,2183
2181,1651,2176
2182,1655,2176
2178,1659,2173
2181,1661,2170
2178,1668,2176
2176,1664,2175
2174,1661,2176
2177,1655,2163
2176,1664,2170
2181,1657,2178
2181,1658,2179
2179,1658,2173
2180,1655,2167
2182,1666,2173
2178,1657,2179
2179,1654,2173
2183,1670,2174
2176,1650,2171
2179,1659,2176
