Tiempo,Temp_Dist_81.4mm,Temp_Dist_123.1mm,Temp_Dist_164.0mm,Temp_Dist_211.9mm,Temp_Dist_249.6mm,Temp_Dist_410.5mm
"[820476250.317, 820476250.561999, 820476250.805999, 820476251.051, 820476251.294999, 820476251.539999, 820476251.784, 820476252.028999]",174.367,158.978,145.388,131.449,122.848,98.581
"[820476255.317, 820476255.561999, 820476255.805999, 820476256.050999, 820476256.295, 820476256.539999, 820476256.783999, 820476257.028999]",174.574,159.188,145.628,131.677,123.085,98.803
"[820476285.319, 820476285.564, 820476285.807999, 820476286.052999, 820476286.296999, 820476286.542, 820476286.786, 820476287.030999]",175.881,160.524,147.003,133.061,124.453,100.171
"[820476315.320999, 820476315.566, 820476315.81, 820476316.054999, 820476316.298999, 820476316.544, 820476316.788, 820476317.033]",177.164,161.834,148.354,134.419,125.821,101.504
