Tiempo,Altura,Senal_de_Control,Set_value
0.104386599999998,-1.7704280100000003,100.0,30
0.13463939999928698,0.0,100.0,30
0.16657859999941138,0.0,100.0,30
0.21454279999943537,0.0,100.0,30
0.24660119999953167,0.0,100.0,30
0.27855859999999666,0.0,100.0,30
0.31061139999928855,0.0,100.0,30
0.34257199999956356,0.0,100.0,30
0.3744550999999774,0.0,100.0,30
0.4066071999995984,0.0,100.0,30
0.4385474000000613,0.0,100.0,30
0.4705764000000272,0.0,100.0,30
0.502622799999699,0.0,100.0,30
0.5345268000000942,0.0,100.0,30
0.5665639999997438,0.0,100.0,30
0.6146484999999302,0.0,100.0,30
0.6467195999994146,0.0,100.0,30
0.6784625999998752,0.0,100.0,30
0.7106630999996923,0.0,100.0,30
0.7425957999994353,0.0,100.0,30
0.7745381999993697,0.0,100.0,30
0.8065489999999045,0.0,100.0,30
0.8385623999993186,0.0,100.0,30
0.8705890000001091,0.0,100.0,30
0.9025151999994705,0.0,100.0,30
0.9345767999993768,0.0,100.0,30
0.9666606999999203,0.0,100.0,30
1.0152223999994021,0.0,100.0,30
1.0468158999992738,0.0,100.0,30
1.0785872999995263,0.0,100.0,30
1.110677399999986,0.0,100.0,30
1.142724599999383,0.0,100.0,30
1.1746587999996336,0.0,100.0,30
1.206643399999848,0.0,100.0,30
1.2386006999995516,0.0,100.0,30
1.270588599999428,0.0,100.0,30
1.302586799999517,0.0,100.0,30
1.3346452999994654,0.0,100.0,30
1.3666628999999375,0.0,100.0,30
1.4146913999993558,0.0,100.0,30
1.4465853000001516,0.0,100.0,30
1.4785234999999375,0.0,100.0,30
1.510554399999819,0.0,100.0,30
1.5425384000000122,0.0,100.0,30
1.574582599999303,0.0,100.0,30
1.606610499999988,0.0,100.0,30
1.638546299999689,0.0,100.0,30
1.6705676999999923,0.0,100.0,30
1.7026011999996626,0.0,100.0,30
1.7345992000000479,0.0,100.0,30
1.7665204999993875,0.0,100.0,30
1.8145753999997396,0.0,100.0,30
1.846565599999849,0.0,100.0,30
1.8785877999998775,0.0,100.0,30
1.9105146000001696,0.0,100.0,30
1.942662499999642,0.0,100.0,30
1.9746132999998736,0.0,100.0,30
2.0066394999994372,0.0,100.0,30
2.0386859000000186,0.0,100.0,30
2.070642499999849,0.0,100.0,30
2.10256709999976,0.0,100.0,30
2.1344830999996702,0.0,100.0,30
2.1666058999999223,0.0,100.0,30
2.2144061999997575,0.0,100.0,30
2.24658829999953,0.0,100.0,30
2.2785377000000153,0.0,100.0,30
2.310600400000112,0.0,100.0,30
2.342609299999822,0.0,100.0,30
