Tiempo,Altura,Senal_de_Control,Set_value
0.1033105999995314,-2.4513618600000004,100.0,50
0.1338657999986026,0.0,100.0,50
0.18180169999868667,-0.13618676999999968,100.0,50
0.21374589999868476,0.0,100.0,50
0.24583019999954558,0.0,100.0,50
0.2783866999998281,-0.13618676999999968,100.0,50
0.31036739999944984,0.0,100.0,50
0.3419477999996161,0.0,100.0,50
0.37374629999976605,-0.13618676999999968,100.0,50
0.4058365999990201,-0.13618676999999968,100.0,50
0.4378560999994079,0.0,100.0,50
0.46992519999912474,-0.13618676999999968,100.0,50
0.5017809000000852,-0.13618676999999968,100.0,50
0.5339569999996456,-0.13618676999999968,100.0,50
0.5818863999993482,-0.13618676999999968,100.0,50
0.6140987999988283,0.0,100.0,50
0.6462761999991926,-0.13618676999999968,100.0,50
0.6777167999989615,-0.13618676999999968,100.0,50
0.7099201999990328,0.0,100.0,50
0.741894400000092,-0.13618676999999968,100.0,50
0.7738694999989093,-0.13618676999999968,100.0,50
0.8057882999983121,0.0,100.0,50
0.8378365999997186,0.0,100.0,50
0.8698797999986709,-0.13618676999999968,100.0,50
0.901854399999138,-0.13618676999999968,100.0,50
0.9337931999998546,0.0,100.0,50
0.981876599998941,-0.13618676999999968,100.0,50
1.0139687999999296,0.0,100.0,50
1.0459151999984897,-0.13618676999999968,100.0,50
1.0779081999990012,-0.13618676999999968,100.0,50
1.109933199999432,0.0,100.0,50
1.1419045999991795,-0.13618676999999968,100.0,50
1.1739186999984668,-0.13618676999999968,100.0,50
1.2057593999998062,-0.13618676999999968,100.0,50
1.2378774999997404,-0.13618676999999968,100.0,50
1.2697813999984646,-0.13618676999999968,100.0,50
1.3017846999991889,-0.13618676999999968,100.0,50
1.3337921999991522,-0.13618676999999968,100.0,50
1.382091199999195,-0.13618676999999968,100.0,50
1.4139061999994738,-0.13618676999999968,100.0,50
1.4458185999992565,-0.13618676999999968,100.0,50
1.4777646999991703,-0.13618676999999968,100.0,50
1.5098245999997744,-0.13618676999999968,100.0,50
1.5418606999992335,-0.13618676999999968,100.0,50
1.5737362999989273,-0.13618676999999968,100.0,50
1.6058321999989857,-0.13618676999999968,100.0,50
1.6378496999986965,0.0,100.0,50
1.669754099999409,-0.13618676999999968,100.0,50
1.701712599999155,-0.13618676999999968,100.0,50
1.7340266999999585,-0.13618676999999968,100.0,50
1.7818035000000236,-0.13618676999999968,100.0,50
1.8137965999994776,0.0,100.0,50
1.8457483999991382,-0.13618676999999968,100.0,50
1.877900999999838,-0.13618676999999968,100.0,50
1.9097595999992336,-0.13618676999999968,100.0,50
1.9419232999989617,-0.13618676999999968,100.0,50
1.9740603999998712,-0.13618676999999968,100.0,50
2.0059204999997746,-0.13618676999999968,100.0,50
2.0377204999986134,-0.13618676999999968,100.0,50
2.069716399999379,-0.13618676999999968,100.0,50
2.1019605999990745,-0.13618676999999968,100.0,50
2.1339161999985663,-0.13618676999999968,100.0,50
2.1818591999999626,-0.13618676999999968,100.0,50
2.213871599999038,-0.13618676999999968,100.0,50
2.245826499998657,-0.13618676999999968,100.0,50
2.27779979999832,-0.13618676999999968,100.0,50
2.309805299999425,0.0,100.0,50
2.3417964999989636,0.0,100.0,50
2.3739145999988978,0.0,100.0,50
2.4057799999991403,0.0,100.0,50
2.4378892999993695,0.0,100.0,50
2.4699621999989176,0.0,100.0,50
2.5021220999988145,0.0,100.0,50
2.5338053999985277,0.0,100.0,50
2.581812699998409,0.0,100.0,50
2.6138039999987086,0.0,100.0,50
2.645850699998846,0.0,100.0,50
2.6778992999988986,0.0,100.0,50
2.7098409999998694,0.0,100.0,50
2.7418979999984003,0.0,100.0,50
2.773898099998405,0.0,100.0,50
2.805843399999503,0.0,100.0,50
2.837987599999906,0.0,100.0,50
2.8699559999986377,0.0,100.0,50
2.901769099999001,0.0,100.0,50
2.933772999998837,0.0,100.0,50
2.981844199999614,0.0,100.0,50
3.013813999999911,0.0,100.0,50
3.045820499999536,0.0,100.0,50
3.0778221000000485,0.0,100.0,50
3.109798599998612,0.6809338500000002,100.0,50
3.1417555999996694,0.6809338500000002,100.0,50
3.173808300000019,0.6809338500000002,100.0,50
3.2059249999983876,0.6809338500000002,100.0,50
3.2377928999994765,0.6809338500000002,100.0,50
3.269784599999184,0.6809338500000002,100.0,50
3.3018337999983487,0.8171206200000003,100.0,50
3.333839799999623,0.27237354000000025,100.0,50
3.3816582999988896,0.40856031000000037,100.0,50
3.4137877999983175,0.40856031000000037,100.0,50
3.4457202999983565,0.5447470800000003,100.0,50
3.4776895999984845,0.8171206200000003,100.0,50
3.509850999998889,0.9533073900000004,100.0,50
3.541836099999273,1.2256809300000002,100.0,50
3.573895099998481,1.4980544700000005,100.0,50
3.6057770999996137,1.9066147800000004,100.0,50
3.63782159999937,2.17898832,100.0,50
3.6697702999990724,2.5875486300000006,100.0,50
3.701830499998323,2.9961089400000005,100.0,50
3.7338497000000643,4.0856031,100.0,50
3.7818032999985007,4.4941634100000005,100.0,50
3.8138591999995697,4.766536950000001,100.0,50
3.845676299999468,4.766536950000001,100.0,50
3.8777933999990637,5.311284030000001,100.0,50
3.909812599998986,5.719844340000001,100.0,50
3.9420071999993525,6.26459142,100.0,50
3.9740623999987292,6.945525270000001,100.0,50
4.005766899999799,7.490272350000001,100.0,50
4.037903200000073,8.1712062,100.0,50
4.069891999999527,8.852140050000001,100.0,50
4.101878499999657,9.396887130000001,100.0,50
4.133878299999196,10.21400775,100.0,50
4.165752799999609,10.894941600000001,100.0,50
4.213855499998317,11.575875450000002,100.0,50
4.245839799999885,12.39299607,100.0,50
4.277812499998618,13.073929920000001,100.0,50
4.310021499999493,13.891050540000002,100.0,50
4.341915999999401,14.708171160000001,100.0,50
4.373882500000036,15.525291780000002,100.0,50
4.405804699999862,16.3424124,100.0,50
4.437721999998757,17.15953302,100.0,50
4.469867699999668,17.976653640000002,100.0,50
4.501816499998313,18.79377426,100.0,50
4.533858099999634,19.610894880000004,100.0,50
4.565777099998741,20.4280155,100.0,50
4.613829299998542,21.38132289,100.0,50
4.645764199998666,22.198443510000004,100.0,50
4.677816299999904,23.01556413,100.0,50
4.709822499999063,23.96887152,100.0,50
4.741817699999956,24.785992140000005,100.0,50
4.773786499999915,25.739299530000004,100.0,50
4.805833299998994,26.828793690000005,100.0,50
4.83785959999841,27.782101080000004,100.0,50
4.8697465999994165,28.735408470000003,100.0,50
4.901854099998673,29.824902630000004,100.0,50
4.933701500000097,30.778210020000003,100.0,50
4.965792099999817,31.867704180000004,100.0,50
5.013732299999901,32.82101157,99.00358606431371,50
5.045809299999746,33.910505730000004,96.95277352784314,50
5.0778566999997565,34.999999890000005,94.90196099137255,50
5.109749399998691,36.08949405,92.85114845490196,50
5.141734199998609,37.17898821,90.80033591843137,50
5.173868199999561,38.26848237,88.74952338196078,50
5.205841699998928,39.494163300000004,86.44235927843135,50
5.23781389999931,40.71984423,84.13519517490197,50
5.26979829999982,41.80933839,82.08438263843136,50
5.301855099998647,43.03501932,79.77721853490196,50
5.333864299998822,44.124513480000005,77.72640599843136,50
5.365847699998994,45.214007640000005,75.67559346196077,50
5.413906199999474,46.43968857,73.36842935843137,50
5.445997399998305,47.52918273,71.31761682196078,50
5.477842999998757,48.61867689,69.2668042854902,50
5.509722299999339,49.708171050000004,67.2159917490196,50
5.541705899999215,50.66147844,65.42153077960783,50
5.573841299999913,48.34630335,69.77950741960784,50
5.6057992999994894,49.43579751,67.72869488313725,50
5.637826499998482,50.52529167,65.67788234666668,50
5.669806399999288,51.61478583,63.62706981019607,50
5.701820299998872,52.840466760000005,61.31990570666667,50
5.733835299999555,53.793774150000004,59.525444737254894,50
5.765970599999491,54.74708154,57.73098376784313,50
5.814041899999211,55.70038893,55.93652279843136,50
5.8458039999986795,56.65369632,54.1420618290196,50
5.8778089999996155,57.470816940000006,52.60395242666666,50
5.909724899998764,58.28793756,51.065843024313715,50
5.941839199998867,58.968871410000006,49.7840851890196,50
5.974072699998942,59.64980526,48.50232735372549,50
6.0057800999984465,60.33073911,47.22056951843137,50
6.037818499999048,60.875486190000004,46.195163250196075,50
6.069783099999768,61.420233270000004,45.16975698196078,50
6.101856999999654,61.964980350000005,44.14435071372548,50
6.133759099999224,62.509727430000005,43.118944445490186,50
6.165927499998361,62.78210097,42.60624131137255,50
6.213875599998573,62.509727430000005,43.118944445490186,50
6.245802299999923,62.78210097,42.60624131137255,50
6.2777303999992,62.78210097,42.60624131137255,50
6.309747499999503,62.78210097,42.60624131137255,50
6.3418312999983755,62.78210097,42.60624131137255,50
6.3737875999995595,62.78210097,42.60624131137255,50
6.405815000000075,62.78210097,42.60624131137255,50
6.437828999998601,62.78210097,42.60624131137255,50
6.46978019999915,62.78210097,42.60624131137255,50
6.5016775999993115,62.78210097,42.60624131137255,50
6.534161899999162,62.78210097,42.60624131137255,50
6.565838799999256,62.78210097,42.60624131137255,50
6.613769199999297,62.78210097,42.60624131137255,50
6.6457778999993025,62.78210097,42.60624131137255,50
6.67777709999973,62.78210097,42.60624131137255,50
6.709850799999913,62.78210097,42.60624131137255,50
6.741859299998396,62.78210097,42.60624131137255,50
6.77386739999929,62.78210097,42.60624131137255,50
6.805754499999239,62.78210097,42.60624131137255,50
6.837853600000017,62.78210097,42.60624131137255,50
6.869927599998846,62.78210097,42.60624131137255,50
6.901939899998979,62.78210097,42.60624131137255,50
6.9338658999986365,62.78210097,42.60624131137255,50
6.965778299998419,62.78210097,42.60624131137255,50
7.013804799998979,62.78210097,42.60624131137255,50
7.045746199999485,62.78210097,42.60624131137255,50
7.077825099999245,62.78210097,42.60624131137255,50
7.10977180000009,62.64591420000001,42.86259287843136,50
7.141856099999131,62.509727430000005,43.118944445490186,50
7.173697499998525,62.78210097,42.60624131137255,50
7.205845899999986,62.78210097,42.60624131137255,50
7.237918999999238,62.509727430000005,43.118944445490186,50
7.269999899999675,62.23735389,43.631647579607844,50
7.301827599998433,61.82879358,44.4007022807843,50
7.333857699999498,61.420233270000004,45.16975698196078,50
7.365835999999035,60.875486190000004,46.195163250196075,50
7.413872299999639,60.33073911,47.22056951843137,50
7.445682799998394,59.78599203,48.24597578666666,50
7.477758199998789,59.24124495,49.27138205490195,50
7.509846399998423,58.56031110000001,50.553139890196064,50
7.541799999999057,58.01556402000001,51.57854615843136,50
7.573805199999697,57.334630170000004,52.86030399372548,50
7.605681499999264,56.65369632,54.1420618290196,50
7.637921300000016,55.972762470000006,55.42381966431371,50
7.669879499999297,55.291828620000004,56.70557749960784,50
7.701792399999249,54.74708154,57.73098376784313,50
7.733766199999081,54.20233446,58.75639003607842,50
7.765838299999814,53.52140061,60.03814787137255,50
7.813877499998853,52.97665353,61.063554139607845,50
7.845734999998967,52.43190645000001,62.08896040784312,50
7.8777904999988095,51.887159370000006,63.11436667607842,50
7.909808399999747,51.342412290000006,64.1397729443137,50
7.941776399999071,54.338521230000005,58.5000384690196,50
7.973713899998984,53.929960920000006,59.269093170196065,50
8.005886999999348,53.52140061,60.03814787137255,50
8.037870999998631,53.1128403,60.807202572549016,50
8.069819799999095,52.70427999,61.57625727372549,50
8.101821399999608,52.43190645000001,62.08896040784312,50
8.133812099998977,52.02334614,62.858015109019604,50
8.165743899999143,51.750972600000004,63.37071824313725,50
8.213775299998815,51.342412290000006,64.1397729443137,50
8.245830500000011,51.07003875,64.65247607843136,50
8.277892999998585,50.797665210000005,65.165179212549,50
8.309872199999518,50.3891049,65.93423391372549,50
8.34191009999995,50.11673136,66.44693704784314,50
8.374064699999508,49.708171050000004,67.2159917490196,50
8.40590549999979,49.43579751,67.72869488313725,50
8.43784759999835,49.163423970000004,68.2413980172549,50
8.469784299999446,48.754863660000005,69.01045271843135,50
8.501782399998774,48.48249012,69.52315585254901,50
8.533808899999713,48.210116580000005,70.03585898666665,50
8.56582779999917,47.93774304,70.54856212078433,50
8.613808999998582,47.665369500000004,71.06126525490197,50
8.64579749999939,47.52918273,71.31761682196078,50
8.677830099999483,47.256809190000006,71.83031995607841,50
8.709778699998424,46.98443565,72.34302309019607,50
8.741963999998916,46.84824888,72.5993746572549,50
8.773757799999657,46.57587534,73.11207779137254,50
8.805829899998571,46.43968857,73.36842935843137,50
8.837896899998668,46.3035018,73.6247809254902,50
8.869815599999129,46.167315030000005,73.881132492549,50
8.901838199999474,45.89494149,74.39383562666666,50
8.933818899999096,45.758754720000006,74.65018719372549,50
8.965815699999439,45.48638118,75.16289032784313,50
9.013835699999618,45.35019441,75.41924189490197,50
9.04573679999885,45.077820870000004,75.93194502901962,50
9.077795199998945,44.9416341,76.18829659607843,50
9.109863899999254,44.9416341,76.18829659607843,50
9.141885199998796,44.80544733,76.44464816313726,50
9.173731599999883,44.669260560000005,76.70099973019606,50
9.205810199999178,44.53307379,76.95735129725489,50
9.237770899999305,44.53307379,76.95735129725489,50
9.2697277999996,44.39688702,77.21370286431372,50
9.301805799999784,44.26070025,77.47005443137255,50
9.333790299999237,44.26070025,77.47005443137255,50
9.3657336999986,44.26070025,77.47005443137255,50
9.413748699998905,44.26070025,77.47005443137255,50
9.445789699999295,44.26070025,77.47005443137255,50
9.477870599999733,44.26070025,77.47005443137255,50
9.50983129999986,44.26070025,77.47005443137255,50
9.541795999999522,44.26070025,77.47005443137255,50
9.573854299998857,44.26070025,77.47005443137255,50
9.605760999998893,44.39688702,77.21370286431372,50
9.637849999999162,44.39688702,77.21370286431372,50
9.669802799999161,44.53307379,76.95735129725489,50
9.701913099999729,44.669260560000005,76.70099973019606,50
9.733844999998837,44.669260560000005,76.70099973019606,50
9.765845799998715,44.80544733,76.44464816313726,50
9.81383199999982,44.9416341,76.18829659607843,50
9.845922299999074,45.077820870000004,75.93194502901962,50
9.877887599999667,45.077820870000004,75.93194502901962,50
9.909801699999662,45.214007640000005,75.67559346196077,50
9.941755599998942,45.35019441,75.41924189490197,50
9.973768599998948,45.48638118,75.16289032784313,50
10.005788999998913,45.758754720000006,74.65018719372549,50
10.037825199999133,45.89494149,74.39383562666666,50
10.069842899998548,46.03112826,74.13748405960784,50
10.101816799999142,46.167315030000005,73.881132492549,50
10.133771299999353,46.3035018,73.6247809254902,50
10.16571919999842,46.43968857,73.36842935843137,50
10.214124799998899,46.712062110000005,72.85572622431371,50
10.245901199999935,46.84824888,72.5993746572549,50
10.277789299998403,46.98443565,72.34302309019607,50
10.309847599999557,47.120622420000004,72.08667152313724,50
10.341812499998923,47.39299596,71.57396838901961,50
10.37380739999935,47.52918273,71.31761682196078,50
10.405963399998654,47.801556270000006,70.80491368784313,50
10.437863799999832,48.07392981,70.29221055372548,50
10.469851399999243,48.34630335,69.77950741960784,50
10.50181530000009,48.61867689,69.2668042854902,50
10.533830200000011,48.89105043,68.75410115137255,50
10.565938699999606,49.163423970000004,68.2413980172549,50
10.613840999998502,49.43579751,67.72869488313725,50
10.645752899999934,49.57198428,67.47234331607842,50
10.677783599998293,49.844357820000006,66.95964018196076,50
10.709767199999987,49.98054459,66.70328861490196,50
10.741796699998304,50.252918130000005,66.1905854807843,50
10.773763099999996,50.3891049,65.93423391372549,50
10.805729799998517,50.52529167,65.67788234666668,50
10.837780299998485,50.797665210000005,65.165179212549,50
10.869806699998662,50.93385198,64.90882764549019,50
10.901749499998914,51.206225520000004,64.39612451137255,50
10.933861699999397,51.342412290000006,64.1397729443137,50
10.96580289999838,51.61478583,63.62706981019607,50
11.013712699999815,51.750972600000004,63.37071824313725,50
11.04567390000011,52.02334614,62.858015109019604,50
11.07771209999919,52.295719680000005,62.34531197490195,50
11.109725699998307,52.43190645000001,62.08896040784312,50
11.141757899998993,52.70427999,61.57625727372549,50
11.17371439999988,52.97665353,61.063554139607845,50
11.205769899999723,53.1128403,60.807202572549016,50
11.237847699998383,53.385213840000006,60.29449943843136,50
11.2698238999983,53.52140061,60.03814787137255,50
11.30193319999853,53.65758738,59.781796304313715,50
11.333906099998785,53.793774150000004,59.525444737254894,50
11.365803499998947,53.929960920000006,59.269093170196065,50
11.413763999998991,54.06614769,59.01274160313725,50
11.445721899999626,54.20233446,58.75639003607842,50
11.4778239999996,54.338521230000005,58.5000384690196,50
11.509762099998625,54.47470800000001,58.243686901960764,50
