Tiempo,Altura,Senal_de_Control,Set_value
0.10338210000008985,-2.3151750900000003,100.0,50
0.1339114000002155,0.0,100.0,50
0.1661050000002433,0.0,100.0,50
0.21395810000103666,0.0,100.0,50
0.24582740000005288,0.0,100.0,50
0.2779150000005757,0.0,100.0,50
0.30995590000020457,0.0,100.0,50
0.3419279000008828,0.0,100.0,50
0.37398620000021765,0.0,100.0,50
0.4059705000017857,0.0,100.0,50
0.43814540000130364,0.0,100.0,50
0.4699670000009064,0.0,100.0,50
0.5018954000006488,0.0,100.0,50
0.5340215000014723,0.0,100.0,50
0.5660111000015604,0.0,100.0,50
0.6139856000008876,0.0,100.0,50
0.6459569000016927,0.0,100.0,50
0.6779409000009764,0.0,100.0,50
0.709893800001737,0.0,100.0,50
0.7418964000007691,0.0,100.0,50
0.7738963000010699,0.0,100.0,50
0.8059737000003224,0.0,100.0,50
0.8379388000012113,0.0,100.0,50
0.8699891000014759,0.0,100.0,50
0.9022316000009596,0.0,100.0,50
0.9340953000009904,0.0,100.0,50
0.9659786000011081,0.0,100.0,50
1.0140519000015047,0.0,100.0,50
1.0459334000006493,0.0,100.0,50
1.0780010000016773,0.0,100.0,50
1.1101185000006808,0.0,100.0,50
1.1419137000011688,0.0,100.0,50
1.1739158000000316,0.0,100.0,50
1.2059334000005038,0.0,100.0,50
1.237983200000599,0.0,100.0,50
1.2700282000005245,0.0,100.0,50
1.3021039000013843,0.0,100.0,50
1.3339829000015015,0.0,100.0,50
1.3659301000006963,0.0,100.0,50
1.413939100000789,0.0,100.0,50
1.4459553000015148,0.0,100.0,50
1.47796980000021,0.0,100.0,50
1.5097803000007843,0.0,100.0,50
1.5419896000003064,0.0,100.0,50
1.57394690000001,0.0,100.0,50
1.6057612000004156,0.0,100.0,50
1.6381178999999975,0.0,100.0,50
1.6699647000004916,0.0,100.0,50
1.701981700000033,0.0,100.0,50
1.7339085000003251,0.0,100.0,50
1.76595400000042,0.0,100.0,50
1.8138777000003756,0.0,100.0,50
1.8459279000016977,0.0,100.0,50
1.877923500000179,0.0,100.0,50
1.9098783000008552,0.0,100.0,50
1.942429100001391,0.0,100.0,50
1.9742791000007855,0.0,100.0,50
2.0061364000011963,0.0,100.0,50
2.0382228000016767,0.0,100.0,50
2.0700116000007256,0.0,100.0,50
2.101975000001403,0.0,100.0,50
2.1339833000001818,0.0,100.0,50
2.1659528000000137,0.0,100.0,50
2.21389740000086,0.0,100.0,50
2.245984100001806,0.0,100.0,50
2.2779134000011254,0.0,100.0,50
2.3099173000009614,0.0,100.0,50
2.3419076000009227,0.0,100.0,50
2.374039800000901,0.0,100.0,50
2.4060178000017913,0.0,100.0,50
2.438014600000315,0.0,100.0,50
2.469977700000527,0.0,100.0,50
2.501970600000277,0.0,100.0,50
2.534153400001742,0.0,100.0,50
2.5659432000011293,0.0,100.0,50
2.613983500001268,0.0,100.0,50
2.6459408000009716,0.0,100.0,50
2.6779383000011876,0.0,100.0,50
2.709970500000054,0.0,100.0,50
2.7421521000014764,0.0,100.0,50
2.7741003000010096,0.0,100.0,50
2.805934400001206,0.0,100.0,50
2.8379093000003195,0.0,100.0,50
2.8699820000001637,0.0,100.0,50
2.9019803000010143,0.0,100.0,50
2.9339926000011474,0.0,100.0,50
2.9659190000002127,0.0,100.0,50
3.013966900000014,0.0,100.0,50
3.045842500001527,0.0,100.0,50
3.0779731000002357,0.0,100.0,50
3.1100356000006286,0.0,100.0,50
3.1418590000012045,0.0,100.0,50
3.173926500001471,0.0,100.0,50
3.2059356000008847,0.0,100.0,50
3.23799020000115,0.0,100.0,50
3.2698951000002126,0.0,100.0,50
3.3019891000003554,0.0,100.0,50
3.3339663000006112,0.0,100.0,50
3.366053900001134,0.0,100.0,50
3.4139566000012564,0.0,100.0,50
3.4459603000013885,0.0,100.0,50
3.478037500000937,0.0,100.0,50
3.5100684000008187,0.0,100.0,50
3.541952500001571,0.0,100.0,50
3.573938300000009,0.0,100.0,50
3.6059553000013693,0.0,100.0,50
3.6379601000007824,0.0,100.0,50
3.6699041000010766,0.0,100.0,50
3.7019313000000693,0.0,100.0,50
3.733920100001342,0.0,100.0,50
3.765956400000505,0.0,100.0,50
3.813835900000413,0.0,100.0,50
3.846140200001173,0.0,100.0,50
3.8780422000018007,0.0,100.0,50
3.9099079000006896,0.0,100.0,50
3.9419623000012507,0.0,100.0,50
3.9739133000002766,0.0,100.0,50
4.005956200000583,0.0,100.0,50
4.037996600000042,0.0,100.0,50
4.069997200000216,0.0,100.0,50
4.1018966999999975,0.0,100.0,50
4.133988800000225,0.0,100.0,50
4.165871700000935,0.0,100.0,50
4.214290700001584,0.0,100.0,50
4.246073600001182,0.0,100.0,50
4.278139900001406,0.0,100.0,50
4.309867100000702,0.0,100.0,50
4.341923300000417,0.0,100.0,50
4.373940000001312,0.0,100.0,50
4.405940600001486,0.0,100.0,50
4.437878000000637,0.0,100.0,50
4.469870400000218,0.0,100.0,50
4.501848000001701,0.0,100.0,50
4.533969600001001,0.0,100.0,50
4.56594640000003,0.0,100.0,50
4.613953900001434,0.0,100.0,50
4.645943100000295,0.0,100.0,50
4.677952000000005,0.0,100.0,50
4.709848200000124,0.0,100.0,50
4.741863500001273,0.0,100.0,50
4.7739286000014545,0.0,100.0,50
4.805856900000435,0.0,100.0,50
4.837856800000736,0.0,100.0,50
